"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.692616661E-2,9.204932463E-1,-8.156909689E-1,1.083072154E0
3.695916664E-2,8.283439051E-1,-9.700814357E-1,1.252840798E0
4.699116666E-2,4.952376772E-1,-1.363025145E0,8.596950674E-1
5.702416663E-2,8.928946808E-2,-1.730676138E0,3.179891288E-2
6.705716666E-2,-1.380515921E-1,-1.760182065E0,-7.225334215E-1
7.708916662E-2,-2.173424676E-1,-1.637788732E0,-1.048076568E0
8.712216665E-2,-2.082773830E-1,-1.381070237E0,-1.191821594E0
9.715416667E-2,-1.225662647E-1,-1.020934086E0,-1.110410811E0
1.071871666E-1,-4.485106766E-3,-7.154220378E-1,-9.512536937E-1
1.172191667E-1,-5.476882249E-2,-6.790625891E-1,-8.650458544E-1
1.272521666E-1,-1.294374740E-1,-9.229552165E-1,-8.571743327E-1
1.372851667E-1,-2.074501482E-1,-1.355673295E0,-8.006001824E-1
1.473171666E-1,-3.603846583E-1,-1.599439183E0,-4.078742820E-1
1.573501666E-1,-4.412056039E-1,-1.470171717E0,2.090555012E-1
1.673821667E-1,-3.418381673E-1,-1.002027114E0,5.465012401E-1
1.774151666E-1,-1.300737973E-1,-5.535361715E-1,4.805978572E-1
1.874471667E-1,1.067096391E-1,-3.947905523E-1,2.480277783E-1
1.974801666E-1,3.345219849E-1,-4.085125056E-1,-1.079805315E-1
2.075131666E-1,3.928743466E-1,-4.145257822E-1,-3.822108525E-1
2.175451666E-1,3.542501982E-1,-4.782503463E-1,-3.484583849E-1
2.275781666E-1,4.530438767E-1,-7.592428261E-1,-1.920506287E-1
2.376101667E-1,4.866884632E-1,-1.003301222E0,6.493157566E-2
2.476431666E-1,2.315162280E-1,-9.292583688E-1,5.224136353E-1
2.576751666E-1,-2.982230549E-1,-5.808120438E-1,7.555011928E-1
2.677081666E-1,-6.740310600E-1,-5.769559512E-1,9.381009668E-1
2.777411666E-1,-7.617029690E-1,-7.114858384E-1,1.034864200E0
2.877731667E-1,-8.662773512E-1,-7.732692732E-1,7.951055539E-1
2.978061666E-1,-9.071441992E-1,-7.381542581E-1,7.614296848E-1
3.078381667E-1,-7.875506589E-1,-5.380126179E-1,9.474588507E-1
3.178711666E-1,-3.855713935E-1,-2.405388106E-1,1.094507554E0
3.279031666E-1,2.439663205E-1,-3.980143415E-1,9.088467622E-1
3.379361666E-1,4.841168578E-1,-7.438652337E-1,4.783121806E-1
3.479681666E-1,4.240869299E-1,-8.620543458E-1,2.650998938E-1
3.580011667E-1,4.331159811E-1,-8.583081079E-1,4.662634081E-1
3.680341666E-1,4.845914690E-1,-8.143942758E-1,8.613352114E-1
3.780661667E-1,4.797453697E-1,-7.443338149E-1,1.199196103E0
3.880991666E-1,4.638201855E-1,-6.669306399E-1,1.342403185E0
3.981311666E-1,4.681642282E-1,-6.572708935E-1,1.346496236E0
4.081641666E-1,5.028933636E-1,-6.590564869E-1,9.652870113E-1
4.181961666E-1,4.428024420E-1,-8.250427864E-1,1.757357275E-1
4.282291667E-1,4.488929749E-1,-1.095632996E0,-6.476528084E-1
4.382621666E-1,5.912732607E-1,-1.021011854E0,-1.199581434E0
4.482941667E-1,6.924339288E-1,-5.486730422E-1,-1.318509123E0
4.583271666E-1,7.624610605E-1,7.752750143E-3,-1.083848664E0
4.683591666E-1,7.423100205E-1,4.112346768E-1,-7.126913881E-1
4.783912916E-1,6.810902573E-1,6.857141624E-1,-4.590678245E-1
4.884232917E-1,6.102884061E-1,7.248800553E-1,-2.207259589E-1
4.984562916E-1,6.340926037E-1,5.840707701E-1,-2.029451609E-2
5.084892916E-1,6.647770373E-1,1.867103301E-1,6.591449261E-2
5.185212916E-1,6.826421814E-1,-3.109034364E-1,1.146171212E-1
5.285542916E-1,5.026485480E-1,-5.628437328E-1,1.722238898E-1
5.385862917E-1,1.881473564E-1,-5.496771553E-1,3.226277250E-1
5.486192916E-1,4.336276855E-2,-4.827604865E-1,5.714133024E-1
5.586512916E-1,-6.458512813E-2,-4.972829967E-1,7.248945272E-1
5.686842916E-1,-6.627055150E-2,-5.554267225E-1,6.368284428E-1
5.787172916E-1,-7.045441702E-2,-5.038245327E-1,3.638242829E-1
5.887492917E-1,-4.999307256E-2,-3.586285932E-1,5.129703820E-2
5.987822916E-1,7.290958978E-2,-2.232891590E-1,-2.280800021E-1
6.088142917E-1,2.075854381E-1,-2.404500791E-1,-5.373170185E-1
6.188472916E-1,2.220751674E-1,-3.237373073E-1,-7.470659995E-1
6.288792916E-1,1.010240624E-1,-2.986909052E-1,-8.621140605E-1
6.389122916E-1,-1.427225307E-1,-2.168819263E-1,-7.996348071E-1
6.489442916E-1,-2.994806813E-1,-1.924363256E-1,-3.740686047E-1
6.589772917E-1,-3.542888263E-1,-2.774122662E-1,8.307840943E-2
