"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.255882025E0,6.375687088E1,2.530986137E1,9.227934265E1,NaN,NaN,3.571372047E1,2.008412361E1
1.619973063E0,6.375687088E1,2.530986137E1,9.236960602E1,NaN,NaN,3.571372047E1,1.701324654E1
1.963083029E0,6.375712790E1,2.531013438E1,1.049816284E2,1.700000018E-1,2.411718750E2,7.646363801E0,8.000000000E0
2.326821089E0,6.375712702E1,2.531013664E1,1.053747559E2,1.700000018E-1,2.411718750E2,8.297952859E0,8.000000000E0
3.332782984E0,6.375698432E1,2.531011501E1,9.990625000E1,0.000000000E0,2.411718750E2,7.360156638E0,8.000000000E0
4.327352047E0,6.375700402E1,2.531012298E1,9.823291016E1,1.599999964E-1,2.411718750E2,6.214017422E0,6.000000000E0
5.334455013E0,6.375695603E1,2.531010604E1,9.012341309E1,1.599999964E-1,2.411718750E2,4.816026104E0,4.000000000E0
6.349542141E0,6.375692292E1,2.531014091E1,9.130523682E1,9.100000262E-1,6.679687500E1,4.340423353E0,6.000000000E0
6.984210968E0,6.375691995E1,2.531014385E1,9.136755371E1,9.700000286E-1,9.808593750E1,3.569508855E0,4.000000000E0
7.984212518E0,6.375692020E1,2.531015374E1,9.143060303E1,9.700000286E-1,7.312500000E1,3.535533906E0,4.000000000E0
8.984232068E0,6.375691378E1,2.531016698E1,9.130377197E1,1.080000043E0,7.347656250E1,3.535533906E0,4.000000000E0
9.984266400E0,6.375690708E1,2.531019456E1,9.080810547E1,1.090000033E0,8.718750000E1,3.535533906E0,3.000000000E0
1.098429966E1,6.375690917E1,2.531021928E1,9.131524658E1,1.120000005E0,8.332031250E1,3.535533906E0,3.000000000E0
1.198433578E1,6.375690456E1,2.531024166E1,9.094775391E1,1.259999990E0,8.367187500E1,3.535533906E0,3.000000000E0
1.298437405E1,6.375690641E1,2.531027117E1,9.097485352E1,1.200000048E0,8.437500000E1,3.535533906E0,3.000000000E0
1.398441029E1,6.375690897E1,2.531029975E1,9.091766357E1,1.259999990E0,7.769531250E1,3.535533906E0,3.000000000E0
1.498444998E1,6.375691137E1,2.531032469E1,9.070225735E1,1.259999990E0,7.769533487E1,4.653296391E0,3.488749021E0
1.598448169E1,6.375690410E1,2.531034775E1,9.090667743E1,1.179999948E0,7.769533345E1,4.653296347E0,3.488749080E0
